Row,Sample Name,Transaction Id,Anon Student Id,Session Id,Time,Time Zone,Student Response Type,Student Response Subtype,Tutor Response Type,Tutor Response Subtype,Level (Lesson),Level (Level2),Problem Name,Problem View,Problem Start Time,Step Name,Attempt At Step,Is Last Attempt,Outcome,Selection,Action,Input,Rater 1: Obviously AI-generated Response (yes=1; no= 0),Rater 2: Obviously AI-generated Response (yes=1; no= 0),Source of Truth: Obviously AI-generated,"Rater 1: Authentic, Real Person Response (yes=1; no=0)","Rater 2: Authentic, Real Person Response (yes=1; no=0)","Source of Truth: Authentic, Real Person",Duration (sec),Feedback Text,Feedback Classification,Help Level,Total Num Hints,KC (Single-KC),KC Category (Single-KC),KC (Unique-step),KC Category (Unique-step),School,Class,CF (AI_Evaluation),CF (AI_Rephrased_Response),CF (AI_Request_Counter),CF (AiEnabled),CF (Condition),CF (Counterbalanced),CF (Sequence),CF (tool_event_time),CF (tutor_event_time),Event Type
25917,All Data,27438f221b0b8c9b2b5d62de1257a681,Stu_21452e60434b7349d56be21b37f929d2,ctat_session_65a03ff6-9742-2663-3253-42f1ce1e7c05,8/9/24 18:37,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,1. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,1,8/9/24 18:37,1 open response,1,1,,1,open response,"Hey Kevin! I noticed how hard you've been working on your math lessons great job! You know, tackling math problems is just like fielding a ground ball in baseball. The more you practice, the quicker and more accurate you get! Keep up the good work, and soon you'll be making math plays just as smoothly as you do on the field. Let's keep swinging for the fences this week!",1,1,1,0,0,0,0,,,,,Single-KC,,KC410,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-09 18:37:38.024 UTC,2024-08-09 18:37:38.025 UTC,
25919,All Data,45fe9ab8e6d0279ddd34970928284536,Stu_21452e60434b7349d56be21b37f929d2,ctat_session_65a03ff6-9742-2663-3253-42f1ce1e7c05,8/9/24 18:38,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,3. Why do you think the approach you selected in Question 2 will best support and increase Kevin's motivation to complete his math work and increase engagement?,1,8/9/24 18:38,3 open response,1,1,,3,open response,"The selected approach works best because it directly acknowledges Kevin's hard work and achievement, reinforcing positive behavior. By offering a reward related to his passion talking about baseball you create a strong incentive that aligns with his interests. This makes the reward more meaningful and motivating. It also builds a positive connection between his efforts in math and his enjoyment of baseball, helping him see that his hard work in one area can lead to rewards in another he values. Additionally, this approach fosters a supportive relationship, showing that you recognize and appreciate his interests and achievements.",1,1,1,0,0,0,0,,,,,Single-KC,,KC175,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-09 18:38:14.776 UTC,2024-08-09 18:38:14.776 UTC,
25930,All Data,df44acddf90b90df255c4eadb7e5165a,Stu_21452e60434b7349d56be21b37f929d2,ctat_session_65a03ff6-9742-2663-3253-42f1ce1e7c05,8/9/24 18:39,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,9. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,1,8/9/24 18:39,9 open response,1,1,,9,open response,"By combining both extrinsic and intrinsic motivations, you create a comprehensive support system: extrinsic rewards offer immediate incentives and recognition, while intrinsic motivation drives long-term engagement and a genuine love for learning. This balanced approach helps maintain student interest, encourages consistent effort, and ultimately promotes a more effective and enjoyable learning experience.",1,0,1,0,1,0,0,,,,,Single-KC,,KC537,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-09 18:39:44.728 UTC,2024-08-09 18:39:44.728 UTC,
25931,All Data,d5945e18dc7b486dc9066d59d68cda11,Stu_21452e60434b7349d56be21b37f929d2,ctat_session_65a03ff6-9742-2663-3253-42f1ce1e7c05,8/9/24 18:39,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,11. Why do you think the approach you selected in Question 11 will best support and increase Carla's motivation to complete her math work and increase engagement?,1,8/9/24 18:39,11 open response,1,1,,11,open response,"By combining both extrinsic and intrinsic motivations, you create a comprehensive support system: extrinsic rewards offer immediate incentives and recognition, while intrinsic motivation drives long-term engagement and a genuine love for learning. This balanced approach helps maintain student interest, encourages consistent effort, and ultimately promotes a more effective and enjoyable learning experience.",1,1,1,0,0,0,0,,,,,Single-KC,,KC421,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-09 18:39:48.976 UTC,2024-08-09 18:39:48.976 UTC,
26023,All Data,7c59162061969ab71549da4bf7826a9a,Stu_21623d82ce2fc82433719c8a365ffb0a,ctat_session_be281666-8950-5c38-dfd1-0b06356da33c,8/7/24 13:17,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,1. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,1,8/7/24 13:17,1 open response,1,1,,1,open response,"Awesome job on your math lessons this week! Just like in baseball, practice makes perfect, and you're hitting those math problems out of the park. Keep up the great work and continue to show that same dedication!",1,0,1,0,0,0,0,,,,,Single-KC,,KC410,,Air Tutors,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-07 13:17:02.997 UTC,2024-08-07 13:17:02.997 UTC,
26027,All Data,e29b591d21457540a614dcf892c07ab6,Stu_21623d82ce2fc82433719c8a365ffb0a,ctat_session_be281666-8950-5c38-dfd1-0b06356da33c,8/7/24 13:18,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,3. Why do you think the approach you selected in Question 2 will best support and increase Kevin's motivation to complete his math work and increase engagement?,1,8/7/24 13:18,3 open response,2,1,,3,open response,This approach acknowledges Kevin's hard work and offers a baseball-related reward. It makes math more enjoyable and shows that you value his interests. It reinforces positive behavior while building a stronger connection.,0,0,0.5,0,0,0,9,,,,,Single-KC,,KC175,,Air Tutors,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-07 13:18:29.453 UTC,2024-08-07 13:18:29.453 UTC,
26041,All Data,b52614141101af1263a3fb06ef1761e8,Stu_21623d82ce2fc82433719c8a365ffb0a,ctat_session_be281666-8950-5c38-dfd1-0b06356da33c,8/7/24 13:26,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,9. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,1,8/7/24 13:26,9 open response,1,1,,9,open response,"Carla, think of math like a new pattern for your scarves - solving these problems helps you master new techniques. Let's keep going so you can add more skills to your design toolbox!",0,0,0.5,0,1,0,0,,,,,Single-KC,,KC537,,Air Tutors,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-07 13:26:03.038 UTC,2024-08-07 13:26:03.038 UTC,
26044,All Data,b0aab5e1d406e035b255f9e99d23cb58,Stu_21623d82ce2fc82433719c8a365ffb0a,ctat_session_be281666-8950-5c38-dfd1-0b06356da33c,8/7/24 13:29,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,11. Why do you think the approach you selected in Question 11 will best support and increase Carla's motivation to complete her math work and increase engagement?,1,8/7/24 13:29,11 open response,2,1,,11,open response,"This approach combines encouragement with a personal connection. It shows support and links math completion to discussing her passion for scarves, making the task feel more rewarding and connected to her interests.",0,0,0,1,1,1,5,,,,,Single-KC,,KC421,,Air Tutors,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-07 13:29:49.167 UTC,2024-08-07 13:29:49.167 UTC,
26363,All Data,dd153c197b66fb3d35aae64a4e93d7c2,Stu_21d0ff330ec10475a9f38053fdebd8b7,ctat_session_c895f8af-b129-aae8-82b0-73b0b80c3899,10/8/24 2:08,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,1. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,1,10/8/24 2:08,1 open response,1,1,,1,open response,"just like in fashion, there are a lot of patters in math. sometimes, some concepts can be applied different ways, like how a custom scarf can be worn different ways",0,0,0,1,1,1,0,,,,,Single-KC,,KC434,,PLUS Tutoring,PLUS Lessons,,,,,Mixed,"Scenario Carla, Scenario  Kevin",,2024-10-08 02:08:42.388 UTC,2024-10-08 02:08:42.388 UTC,
26374,All Data,904df6394fa44ed21dd8ba766e99730c,Stu_21d0ff330ec10475a9f38053fdebd8b7,ctat_session_c895f8af-b129-aae8-82b0-73b0b80c3899,10/8/24 2:26,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,9. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,1,10/8/24 2:26,9 open response,1,1,,9,open response,there's a ton of math in baseball! let's break some of it down in our next lesson,0,0,0,1,1,1,0,,,,,Single-KC,,KC382,,PLUS Tutoring,PLUS Lessons,,,,,Mixed,"Scenario Carla, Scenario  Kevin",,2024-10-08 02:26:12.921 UTC,2024-10-08 02:26:12.922 UTC,
26377,All Data,5c1a3e41f3cc0470f2aedc3558d64a5d,Stu_21d0ff330ec10475a9f38053fdebd8b7,ctat_session_c895f8af-b129-aae8-82b0-73b0b80c3899,10/8/24 2:26,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,11. Why do you think the approach you selected in Question 10 will best support and increase Kevin's motivation to complete his math work and increase engagement?,1,10/8/24 2:26,11 open response,1,1,,11,open response,it provides external motivation with something that drives him as a reward for his hard work,0,0,0,1,1,1,0,,,,,Single-KC,,KC92,,PLUS Tutoring,PLUS Lessons,,,,,Mixed,"Scenario Carla, Scenario  Kevin",,2024-10-08 02:26:56.424 UTC,2024-10-08 02:26:56.425 UTC,
26629,All Data,c0cb0a4f1924c441ce31e70ac7a14489,Stu_21fb3f6b2d07b78a184b85354f28e8be,ctat_session_645fc1b1-b3e4-d48d-9345-55b0f8276894,8/2/24 20:48,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,1. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,1,8/2/24 20:48,1 open response,1,1,,1,open response,"Hey Kevin! Nice work crushing your math goals this week! Just like in baseball, practice makes perfect. Keep it going, and you'll be hitting home runs in math too!",1,1,1,0,0,0,0,,,,,Single-KC,,KC410,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-02 20:48:31.064 UTC,2024-08-02 20:48:31.065 UTC,
26631,All Data,2be21c582402ef6f4d0d52ecff0757e9,Stu_21fb3f6b2d07b78a184b85354f28e8be,ctat_session_645fc1b1-b3e4-d48d-9345-55b0f8276894,8/2/24 20:50,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,3. Why do you think the approach you selected in Question 2 will best support and increase Kevin's motivation to complete his math work and increase engagement?,1,8/2/24 20:50,3 open response,1,1,,3,open response,"The approach I chose works best because it praises Kevin for his hard work and connects to his love for baseball. By rewarding him with a chat about baseball, it makes him feel good and keeps him motivated to do well in math.",0,1,0.5,0,0,0,0,,,,,Single-KC,,KC175,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-02 20:50:34.302 UTC,2024-08-02 20:50:34.303 UTC,
26646,All Data,7966d15fb01aa870a1a9d899491e0fff,Stu_21fb3f6b2d07b78a184b85354f28e8be,ctat_session_645fc1b1-b3e4-d48d-9345-55b0f8276894,8/2/24 21:01,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,9. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,1,8/2/24 21:01,9 open response,1,1,,9,open response,"Hey Carla, math is like designing your scarves. Just like you create your scarves step by step, we can work on math problems one at a time. Each problem you solve is like adding a new detail to your design. Let's keep going, and we'll make great progress together!",1,1,1,0,0,0,0,,,,,Single-KC,,KC537,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-02 21:01:03.169 UTC,2024-08-02 21:01:03.170 UTC,
26648,All Data,b110ebdc5aa961b6c7a31b78c153c81d,Stu_21fb3f6b2d07b78a184b85354f28e8be,ctat_session_645fc1b1-b3e4-d48d-9345-55b0f8276894,8/2/24 21:01,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,11. Why do you think the approach you selected in Question 11 will best support and increase Carla's motivation to complete her math work and increase engagement?,1,8/2/24 21:01,11 open response,1,1,,11,open response,"This approach works best because it shows Carla that you're there to help her and believe in her ability to finish the assignment. It also makes the task feel more rewarding by offering her a chance to talk about her scarves once she's done. This mix of support, confidence, and a positive reward can make her more motivated to keep working on math.",1,1,1,0,0,0,0,,,,,Single-KC,,KC421,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-02 21:01:58.808 UTC,2024-08-02 21:01:58.808 UTC,
27281,All Data,aa88b952ae431c7cf22e061878f8e79d,Stu_221033ad910db017a3b16a4e1097e2b0,ctat_session_96c836d0-d9d2-d304-9e4b-ae4dcf961d0e,12/30/24 5:26,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,1. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,1,12/30/24 5:26,1 open response,1,1,,1,open response,"Kevin, what are the aspects of baseball you love the most? Are there any aspects of math that overlap with those?",0,0,0,1,1,1,0,,,,,Single-KC,,KC410,,PLUS Tutoring,PLUS Lessons,,,,false,Mixed,"Scenario Kevin, Scenario  Carla",,2024-12-30 05:26:34.697 UTC,2024-12-30 05:26:34.698 UTC,
27287,All Data,be622ee23670842d6b43f9b909ce6b5e,Stu_221033ad910db017a3b16a4e1097e2b0,ctat_session_96c836d0-d9d2-d304-9e4b-ae4dcf961d0e,12/30/24 5:29,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,3. Why do you think the approach you selected in Question 2 will best support and increase Kevin's motivation to complete his math work and increase engagement?,2,12/30/24 5:29,3 open response,1,1,,3,open response,"The approach gives Kevin an incentive to keep putting in effort, and the incentive deals with a subject he is extremely fond of, making him more likely to engage.",0,1,0.5,1,0,0,0,,,,,Single-KC,,KC175,,PLUS Tutoring,PLUS Lessons,,,,false,Mixed,"Scenario Kevin, Scenario  Carla",,2024-12-30 05:29:03.623 UTC,2024-12-30 05:29:03.623 UTC,
27301,All Data,5d31852b7ef13468c86800888ebd0c43,Stu_221033ad910db017a3b16a4e1097e2b0,ctat_session_96c836d0-d9d2-d304-9e4b-ae4dcf961d0e,12/30/24 5:32,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,9. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,1,12/30/24 5:32,9 open response,1,1,,9,open response,"Carla, I promise that if you get through this assignment, I'll make time at the end of our session so you can talk with me about how you make scarves.",0,0,0,1,1,1,0,,,,,Single-KC,,KC537,,PLUS Tutoring,PLUS Lessons,,,,false,Mixed,"Scenario Kevin, Scenario  Carla",,2024-12-30 05:32:37.492 UTC,2024-12-30 05:32:37.492 UTC,
27304,All Data,68296ba2916c7e382609f793e4200f13,Stu_221033ad910db017a3b16a4e1097e2b0,ctat_session_96c836d0-d9d2-d304-9e4b-ae4dcf961d0e,12/30/24 5:34,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,11. Why do you think the approach you selected in Question 10 will best support and increase Carla's motivation to complete her math work and increase engagement?,1,12/30/24 5:34,11 open response,1,1,,11,open response,"The approach utilizes extrinsic motivation by providing a reward of hobby discussion with Carla if she keeps working, and simultaneously provides positive encouragement.",0,0,0,1,1,1,0,,,,,Single-KC,,KC40,,PLUS Tutoring,PLUS Lessons,,,,false,Mixed,"Scenario Kevin, Scenario  Carla",,2024-12-30 05:34:04.564 UTC,2024-12-30 05:34:04.564 UTC,
28020,All Data,1a05b976a34d62e2e018fcd48a33facf,Stu_237ea389ae930cd30c644d3a971515bf,ctat_session_4e8a75be-9972-902f-77b3-d4662b4a01d9,11/1/24 17:03,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,1. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,1,11/1/24 17:03,1 open response,1,1,,1,open response,"Kevin, I am so proud that you persevered through the week completing math lessons. You met your effort goal! As a reward, I promised we could talk about baseball for 10 minutes. Please tell me, how is your season going",1,0,1,0,1,0,0,,,,,Single-KC,,KC410,,PLUS Tutoring,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-11-01 17:03:49.837 UTC,2024-11-01 17:03:49.837 UTC,
28023,All Data,ff66e17345c4b5968b8c2bcf4764dfa7,Stu_237ea389ae930cd30c644d3a971515bf,ctat_session_4e8a75be-9972-902f-77b3-d4662b4a01d9,11/1/24 17:04,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,3. Why do you think the approach you selected in Question 2 will best support and increase Kevin's motivation to complete his math work and increase engagement?,1,11/1/24 17:04,3 open response,1,1,,3,open response,"When you provide rewards or incentives to students, such as the reward of talking about baseball with Kevin, you are providing external rewards to motivate the student. External rewards or incentives can support engagement and motivate students",0,1,1,0,0,0,0,,,,,Single-KC,,KC175,,PLUS Tutoring,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-11-01 17:04:38.026 UTC,2024-11-01 17:04:38.027 UTC,
28038,All Data,a5d60bd6982097c97703553572fb5f92,Stu_237ea389ae930cd30c644d3a971515bf,ctat_session_4e8a75be-9972-902f-77b3-d4662b4a01d9,11/1/24 17:08,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,9. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,1,11/1/24 17:08,9 open response,1,1,,9,open response,"Carla, you need to finish this assignment as you need to know this information. You use math to make your scarves, correct? These math problems are no different than how you make scarves.",1,0,1,0,1,0,0,,,,,Single-KC,,KC537,,PLUS Tutoring,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-11-01 17:08:28.477 UTC,2024-11-01 17:08:28.478 UTC,
28041,All Data,b0854bfb9f95b227e3506d0d784ec144,Stu_237ea389ae930cd30c644d3a971515bf,ctat_session_4e8a75be-9972-902f-77b3-d4662b4a01d9,11/1/24 17:09,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,11. Why do you think the approach you selected in Question 10 will best support and increase Carla's motivation to complete her math work and increase engagement?,1,11/1/24 17:09,11 open response,1,1,,11,open response,"By teaching Carla about the similarities between her math assignment and clothing design and scarf making, you are making the math assignment more authentic and relevant to the real world",1,0,1,0,1,0,0,,,,,Single-KC,,KC40,,PLUS Tutoring,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-11-01 17:09:14.284 UTC,2024-11-01 17:09:14.285 UTC,
28547,All Data,298950b15176f3ba0683c81431c5b0ff,Stu_24b5b2d63392850be3ff9b68b381e5d9,ctat_session_b046cd90-968f-371e-a678-d744cd23f22f,1/12/25 0:33,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,1. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,1,1/12/25 0:33,1 open response,1,1,,1,open response,"Carla, I know this math assignment feels tough, but I've seen how creative and talented you are with designing custom scarves. Did you know math plays a big role in fashion design? Designers use it to create patterns, measure fabric, and calculate costs. Let's tackle this assignment together step by step think of it as another way to sharpen the skills you'll use in your amazing designs. I know you can do this!",1,1,1,0,0,0,0,,,,,Single-KC,,KC434,,PLUS Tutoring,PLUS Lessons,,,,false,Mixed,"Scenario Carla, Scenario  Kevin",,2025-01-12 00:33:35.976 UTC,2025-01-12 00:33:35.976 UTC,
28551,All Data,69ecf4b1b62dddbb1e82bd7f60fd8608,Stu_24b5b2d63392850be3ff9b68b381e5d9,ctat_session_b046cd90-968f-371e-a678-d744cd23f22f,1/12/25 0:35,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,3. Why do you think the approach you selected in Question 2 will best support and increase Carla's motivation to complete her math work and increase engagement?,1,1/12/25 0:35,3 open response,1,1,,3,open response,I think the approach could encourage her the most.,0,0,0,1,1,1,0,,,,,Single-KC,,KC1326,,PLUS Tutoring,PLUS Lessons,,,,false,Mixed,"Scenario Carla, Scenario  Kevin",,2025-01-12 00:35:09.535 UTC,2025-01-12 00:35:09.535 UTC,
28569,All Data,330a5d7464cb81f8f53443725f003506,Stu_24b5b2d63392850be3ff9b68b381e5d9,ctat_session_b046cd90-968f-371e-a678-d744cd23f22f,1/12/25 0:37,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,9. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,1,1/12/25 0:37,9 open response,1,1,,9,open response,"Hey Kevin! Great job hitting your goal of completing all those math lessons this week that's like scoring a home run in math! Just like in baseball, practice makes you stronger, and you're really building those math skills one step at a time. Keep up the awesome effort you're on your way to being an MVP in math too!",1,1,1,0,0,0,0,,,,,Single-KC,,KC382,,PLUS Tutoring,PLUS Lessons,,,,false,Mixed,"Scenario Carla, Scenario  Kevin",,2025-01-12 00:37:56.297 UTC,2025-01-12 00:37:56.298 UTC,
28571,All Data,559150be2efedec30a972ae20b55407f,Stu_24b5b2d63392850be3ff9b68b381e5d9,ctat_session_b046cd90-968f-371e-a678-d744cd23f22f,1/12/25 0:39,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,11. Why do you think the approach you selected in Question 10 will best support and increase Kevin's motivation to complete his math work and increase engagement?,1,1/12/25 0:39,11 open response,1,1,,11,open response,I think this response encourage him to focus on math without neglecting or denying his hobbies.,0,0,0,1,1,1,0,,,,,Single-KC,,KC92,,PLUS Tutoring,PLUS Lessons,,,,false,Mixed,"Scenario Carla, Scenario  Kevin",,2025-01-12 00:39:01.882 UTC,2025-01-12 00:39:01.883 UTC,
28793,All Data,24408f87392f439165188cbd1e09d442,Stu_24cd67c1c6283f41623eda335b64a33c,ctat_session_7021d349-11a0-f0c0-c083-972593c7e7ff,10/1/24 2:09,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,1. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,1,10/1/24 2:09,1 open response,1,1,,1,open response,"Carla, I know you love making scarves. Let's see how we can relate that passion to this math problem which might help you gain some insight into how to solve it.",0,0,0.5,0,1,0,0,,,,,Single-KC,,KC434,,PLUS Tutoring,PLUS Lessons,,,,,Mixed,"Scenario Carla, Scenario  Kevin",,2024-10-01 02:09:47.334 UTC,2024-10-01 02:09:47.334 UTC,
28802,All Data,1f1e061e6c6db99460c5c9a390d20b43,Stu_24cd67c1c6283f41623eda335b64a33c,ctat_session_7021d349-11a0-f0c0-c083-972593c7e7ff,10/1/24 2:11,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,3. Why do you think the approach you selected in Question 2 will best support and increase Carla's motivation to complete her math work and increase engagement?,3,10/1/24 2:11,3 open response,1,1,,3,open response,"I think Carla's motivation will be increased since I am letting her know that after we complete this math problem, we can discuss a passion of hers. Additionally, I am offering encouragement to her and telling her that I know she can do it.",0,0,0,1,1,1,0,,,,,Single-KC,,KC1326,,PLUS Tutoring,PLUS Lessons,,,,,Mixed,"Scenario Carla, Scenario  Kevin",,2024-10-01 02:11:21.546 UTC,2024-10-01 02:11:21.547 UTC,
28812,All Data,a444bf3ac5d3b49c12141332e0966fd5,Stu_24cd67c1c6283f41623eda335b64a33c,ctat_session_7021d349-11a0-f0c0-c083-972593c7e7ff,10/1/24 2:14,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,9. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,1,10/1/24 2:14,9 open response,1,1,,9,open response,"I would encourage him to complete his math lessons and once completed, we could talk more about his love of sports and how he plays baseball.",0,0,0,1,1,1,0,,,,,Single-KC,,KC382,,PLUS Tutoring,PLUS Lessons,,,,,Mixed,"Scenario Carla, Scenario  Kevin",,2024-10-01 02:14:40.848 UTC,2024-10-01 02:14:40.848 UTC,
28815,All Data,9dcb924b568145bfbb6e71836d8c447d,Stu_24cd67c1c6283f41623eda335b64a33c,ctat_session_7021d349-11a0-f0c0-c083-972593c7e7ff,10/1/24 2:17,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,11. Why do you think the approach you selected in Question 10 will best support and increase Kevin's motivation to complete his math work and increase engagement?,1,10/1/24 2:15,11 open response,2,1,,11,open response,This utilizes the idea of extrinsic motivation and intrinsic motivation and combines them in order to motivate Kevin to complete his math lessons.,0,0,0,1,1,1,133,,,,,Single-KC,,KC92,,PLUS Tutoring,PLUS Lessons,,,,,Mixed,"Scenario Carla, Scenario  Kevin",,2024-10-01 02:17:13.147 UTC,2024-10-01 02:17:13.148 UTC,
29456,All Data,9b43ad577b1b4e88b95673a7b38a5ef3,Stu_24d3594caca506a633cdb1344060326f,ctat_session_340fee93-1266-cfc9-8301-5014350a2d13,4/12/24 2:18,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,1. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,1,4/12/24 2:18,1 open response,1,1,,1,open response,"Hey Kevin, awesome job hitting your math lessons goal this week! Just like in baseball, every practice gets you closer to hitting home runs. Let's keep the streak going and aim for a new personal best next week. Ready to knock it out of the park?",1,1,1,0,0,0,0,,,,,Single-KC,,KC410,,PLUS Tutoring,PLUS Lessons,,,,,Open-response only,"Scenario Kevin, Scenario  Carla",,2024-04-12 02:18:39.948 UTC,2024-04-12 02:18:39.948 UTC,
29458,All Data,7ef99618335edc3acd23bce0e642f7fa,Stu_24d3594caca506a633cdb1344060326f,ctat_session_340fee93-1266-cfc9-8301-5014350a2d13,4/12/24 2:18,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,2. Why do you think the text you sent to Kevin in Question 1 will best support and increase his motivation to complete his math work and increase engagement?,1,4/12/24 2:18,2 open response,1,1,,2,open response,"This message draws a parallel between practicing math and practicing baseball, a sport Kevin loves. By comparing his effort in math to training in baseball, it reinforces the value of consistent practice and effort, regardless of the field. This analogy helps make the abstract concept of math progress more concrete and relatable, tapping into his existing passion for sports to boost his motivation and engagement.",1,0,1,0,0,0,0,,,,,Single-KC,,KC414,,PLUS Tutoring,PLUS Lessons,,,,,Open-response only,"Scenario Kevin, Scenario  Carla",,2024-04-12 02:18:46.393 UTC,2024-04-12 02:18:46.394 UTC,
